method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
frozen,3,50,1.6285,1.3338,1.9772,3.8298,29
frozen,3,55,1.8003,1.3376,2.1080,3.8298,29
frozen,3,60,1.8250,1.5709,2.2257,3.8298,29
frozen,3,65,1.9888,1.6774,2.2495,3.8298,29
frozen,3,70,1.8962,1.6283,2.1080,3.8298,29
frozen,3,75,1.9303,1.6049,2.1007,3.8298,29
frozen,3,80,1.8700,1.6588,2.1007,3.8298,29
frozen,3,85,1.8700,1.6588,2.1007,3.8298,29
frozen,3,90,1.8599,1.6282,2.1007,3.8298,29
frozen,3,95,1.8599,1.6282,2.1007,3.8298,29
frozen,3,100,1.8599,1.6282,2.1007,3.8298,29
frozen,3,105,1.8700,1.6282,2.1007,3.8298,29
frozen,3,110,1.8700,1.6282,2.1007,3.8298,29
frozen,3,115,1.8599,1.5833,2.1007,3.8298,29
frozen,3,120,1.8599,1.5833,2.1007,3.8298,29
frozen,3,125,1.8599,1.5833,2.1007,3.8298,29
frozen,3,130,1.8599,1.5833,2.1007,3.8298,29
frozen,3,135,1.8599,1.5833,2.1007,3.8298,29
frozen,3,140,1.8599,1.5833,2.1007,3.8298,29
frozen,3,145,1.8599,1.5833,2.1007,3.8298,29
frozen,3,150,1.8599,1.5833,2.1007,3.8298,29
frozen,3,155,1.8599,1.5833,2.1007,3.8298,29
frozen,3,160,1.8599,1.5833,2.1007,3.8298,29
frozen,3,165,1.8599,1.5833,2.1007,3.8298,29
frozen,3,170,1.8599,1.5833,2.1007,3.8298,29
frozen,3,175,1.8599,1.5833,2.1007,3.8298,29
frozen,3,180,1.8599,1.5833,2.1007,3.8298,29
frozen,3,185,1.8599,1.5833,2.1007,3.8298,29
frozen,3,190,1.8599,1.5833,2.1007,3.8298,29
frozen,3,195,1.8599,1.5833,2.1007,3.8298,29
frozen,3,200,1.8599,1.5833,2.1007,3.8298,29
frozen,3,205,1.8599,1.5833,2.1007,3.8298,29
frozen,3,210,1.8599,1.5833,2.1007,3.8298,29
frozen,3,215,1.8599,1.5833,2.1007,3.8298,29
